Date,Hour,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
1,21,245.1351108198722,0.51685824,254.28953404551362,139.84862459409078,0.0,36.0,0.0,0.0,0.0,0.0,245.1351108198722,0.0,0.0,0.0,0.0
1,22,238.45560165974948,0.5316652799999999,247.3605826345987,139.70066871259223,0.0,33.0,0.0,0.0,0.0,0.0,238.45560165974948,0.0,0.0,0.0,0.0
1,23,243.77925311203097,0.40488,252.88304264733893,110.75771501868138,0.0,34.0,0.0,0.0,0.0,0.0,243.77925311203097,0.0,0.0,0.0,0.0
2,0,243.15684647302726,0.66990288,252.2373926068785,177.3236134463262,0.0,34.0,0.0,0.0,0.0,0.0,243.15684647302726,0.0,0.0,0.0,0.0
2,1,245.13511081987178,0.59771856,254.28953404551365,160.41055768966189,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987178,0.0,0.0,0.0,0.0
2,2,245.13511081987141,0.61148448,254.28953404551365,163.91108707216964,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987141,0.0,0.0,0.0,0.0
2,3,244.5636443668451,0.5108428799999999,253.69672652162754,137.99652807074642,0.0,34.0,0.0,0.0,0.0,0.0,244.5636443668451,0.0,0.0,0.0,0.0
2,4,245.13511081987141,0.57932544,254.28953404551362,155.7333797752186,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987141,0.0,0.0,0.0,0.0
2,5,238.51950207468593,0.81820464,247.4268693720843,210.63564195712928,0.0,34.0,0.0,0.0,0.0,0.0,238.51950207468593,0.0,0.0,0.0,0.0
2,6,227.24979253111857,1.18641408,235.7362993061429,287.48373617093523,0.0,32.0,0.0,0.0,0.0,0.0,227.24979253111857,0.0,0.0,0.0,0.0
2,7,237.89709543568188,1.59858192,246.78121933162342,402.6684537789644,0.0,34.0,0.0,0.0,0.0,0.0,237.89709543568188,0.0,0.0,0.0,0.0
2,8,252.84696775973242,1.68869664,262.2893856428794,424.04144760289887,142.497121037248,34.0,0.0,0.0,0.0,1.0,237.4124481327766,0.0,0.0,0.0,15.434519626955849
2,9,173.19394849065458,1.7010744,179.6617722932121,241.47694028546465,359.69990236741586,19.0,0.0,0.0,0.0,3.0,134.2331950207457,0.0,0.0,0.0,38.96075346990886
2,10,290.0600713713343,1.68441648,300.8921902192268,39.55276541078899,2472.981986727049,3.0,0.0,0.0,0.0,12.0,22.200000000000003,0.0,0.0,0.0,267.86007137133424
2,11,648.6728230745867,1.6582728,672.8971193719782,0.0,5988.784362410606,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,648.6728230745867
2,12,490.19905365057963,1.67018784,508.50524237611995,0.0,4525.696657147468,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,490.19905365057963
2,13,566.2011760277943,1.6630156799999996,587.3456182860938,0.0,5227.376002746235,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,566.2011760277943
2,14,1056.5117442060362,1.7143775999999995,1095.966539632818,0.0,9754.10220273208,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1056.5117442060362
2,15,748.7917659867313,1.79697312,776.7549439696385,0.0,6913.119001329784,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,748.7917659867313
2,16,725.6881672495729,1.88431152,752.7885552381462,0.0,6699.818141619502,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,725.6881672495729
2,17,424.7617753253778,1.96656,440.62424826284,0.0,3921.5558095392767,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,424.7617753253778
2,18,103.6911200392897,2.02139232,107.56340253038425,94.6259948215783,547.3972700722804,6.0,0.0,0.0,0.0,3.0,44.4,0.0,0.0,0.0,59.291120039289694
2,19,259.1596802132109,1.90247328,268.83784254482816,492.19602748214606,129.4799456438997,34.0,0.0,0.0,0.0,2.0,245.13511081987164,0.0,0.0,0.0,14.024569393339247
2,20,270.87148046205124,1.769904,280.98701292744283,458.485047042197,237.60756204917004,34.0,0.0,0.0,0.0,4.0,245.13511081987153,0.0,0.0,0.0,25.736369642179763
2,21,245.13511081987124,1.6388385599999995,254.28953404551365,425.1564773751269,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987124,0.0,0.0,0.0,0.0
2,22,245.13511081987147,1.5231585600000002,254.28953404551362,395.7402640767419,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987147,0.0,0.0,0.0,0.0
2,23,245.13511081987264,1.3657180800000002,254.28953404551368,355.70479777764007,0.0,37.0,0.0,0.0,0.0,0.0,245.13511081987264,0.0,0.0,0.0,0.0
3,0,245.13511081987173,0.91167408,254.28953404551365,240.24616058147862,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987173,0.0,0.0,0.0,0.0
3,1,237.88413520672302,0.85522224,246.7677751107119,219.20930274616376,0.0,34.0,0.0,0.0,0.0,0.0,237.88413520672302,0.0,0.0,0.0,0.0
3,2,238.51950207468522,0.85533792,247.42686937208347,219.8234131770455,0.0,34.0,0.0,0.0,0.0,0.0,238.51950207468522,0.0,0.0,0.0,0.0
3,3,242.45441857771175,0.82641792,251.50873296443459,216.17626301942616,0.0,35.0,0.0,0.0,0.0,0.0,242.45441857771175,0.0,0.0,0.0,0.0
3,4,245.13511081987173,0.83671344,254.28953404551362,221.18445436412532,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987173,0.0,0.0,0.0,0.0
3,5,244.4768252167232,0.89235552,253.60666516257945,234.70168818350078,0.0,35.0,0.0,0.0,0.0,0.0,244.4768252167232,0.0,0.0,0.0,0.0
3,6,235.33609958505807,1.18548864,244.12458463180604,297.4874455770374,0.0,34.0,0.0,0.0,0.0,0.0,235.33609958505807,0.0,0.0,0.0,0.0
3,7,235.82074688796303,1.79257728,244.62733079664545,446.61055990247985,0.0,34.0,0.0,0.0,0.0,0.0,235.82074688796303,0.0,0.0,0.0,0.0
3,8,245.1351108198715,1.89622656,254.28953404551365,490.607551964033,0.0,34.0,0.0,0.0,0.0,0.0,245.1351108198715,0.0,0.0,0.0,0.0
3,9,162.0989580494834,1.93266576,168.15244610942358,141.16175396098544,857.4472509096731,10.0,0.0,0.0,0.0,4.0,69.22489626555925,0.0,0.0,0.0,92.87406178392413
3,10,197.72187807829542,1.95001776,205.10568265383355,15.223103136929744,1757.1210735444286,1.0,0.0,0.0,0.0,10.0,7.4,0.0,0.0,0.0,190.3218780782954
3,11,308.9825229046122,1.96066032,320.52128932013716,0.0,2852.6394749492206,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,308.9825229046122
3,12,539.9215018523685,1.902936,560.0845454900088,0.0,4984.752454861079,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,539.9215018523685
3,13,778.9289638615305,1.86140688,808.017597366733,0.0,7191.35661656392,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,778.9289638615305
3,14,616.0161426573773,1.88627808,639.0208948727982,0.0,5687.285964367904,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,616.0161426573773
3,15,1040.2338950837704,1.94030064,1079.0808040288073,0.0,9603.819155856389,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1040.2338950837704
3,16,659.4058594508964,1.92734448,684.0309745341251,0.0,6087.875673353712,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,659.4058594508964
3,17,404.6210188843312,1.97488896,419.73134739038517,0.0,3735.6089917744293,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,404.6210188843312
3,18,169.6998991529439,1.95418224,176.03723978521177,30.510142273859415,1430.0924299390051,2.0,0.0,0.0,0.0,7.0,14.8,0.0,0.0,0.0,154.8998991529439
3,19,281.32715044351625,1.86233232,291.83314361360965,481.9886014676068,334.1381251560553,34.0,0.0,0.0,0.0,2.0,245.1351108198717,0.0,0.0,0.0,36.19203962364463
3,20,245.13511081987164,1.73080416,254.28953404551365,448.542366947343,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987164,0.0,0.0,0.0,0.0
3,21,245.13511081987176,1.5159864,254.28953404551365,393.9164588522422,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987176,0.0,0.0,0.0,0.0
3,22,245.13511081987198,1.32187536,254.2895340455136,344.5560529375519,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987198,0.0,0.0,0.0,0.0
3,23,245.1351108198716,1.08345888,254.28953404551368,283.9292373295803,0.0,35.0,0.0,0.0,0.0,0.0,245.1351108198716,0.0,0.0,0.0,0.0
4,0,242.18755186721737,0.95875584,251.2319002772001,249.1858274842385,0.0,34.0,0.0,0.0,0.0,0.0,242.18755186721737,0.0,0.0,0.0,0.0
4,1,245.13511081987153,0.91202112,254.2895340455136,240.33440922137385,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987153,0.0,0.0,0.0,0.0
4,2,241.7029045643124,0.80895024,250.7291541123611,211.12654439531062,0.0,34.0,0.0,0.0,0.0,0.0,241.7029045643124,0.0,0.0,0.0,0.0
4,3,233.25975103733956,0.8011996800000001,241.97069609682856,201.87607432296136,0.0,34.0,0.0,0.0,0.0,0.0,233.25975103733956,0.0,0.0,0.0,0.0
4,4,239.97344398340007,0.830004,248.93510786660116,214.8568873400949,0.0,34.0,0.0,0.0,0.0,0.0,239.97344398340007,0.0,0.0,0.0,0.0
4,5,224.90172148228177,0.94545264,233.3005409567269,228.2968602666331,0.0,32.0,0.0,0.0,0.0,0.0,224.90172148228177,0.0,0.0,0.0,0.0
4,6,245.13511081987215,0.92671248,254.28953404551368,244.0702683102687,0.0,36.0,0.0,0.0,0.0,0.0,245.13511081987215,0.0,0.0,0.0,0.0
4,7,233.08727705330423,0.96396144,241.79178117562978,239.92338429922387,10.335478681472946,34.0,0.0,0.0,0.0,1.0,231.96779374443457,0.0,0.0,0.0,1.1194833088696539
4,8,233.8934227270962,0.99797136,242.62803187458462,250.16681479905117,0.0,33.0,0.0,0.0,0.0,0.0,233.8934227270962,0.0,0.0,0.0,0.0
4,9,201.08034308352921,0.98756016,208.58956751403576,108.5847378944571,909.6048960928094,15.0,0.0,0.0,0.0,6.0,102.55684647302716,0.0,0.0,0.0,98.52349661050205
